Gene Name;Overall Rank;All Diseases Rank;ARDs Rank;Strongest Linked ARD;Aging Rank;Human Link Y/N;M. musculus Link;C. elegans Link;D. melanogaster Link;Development Level;Pharos TDL
MYBL2;296;586;340;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
CDX2;297;209;446;Cancer;407;Yes;None;None;None;Low;Tbio
TFAM;298;667;342;Chronic Obstructive Pulmonary Disease;62;Yes;Unclear;None;None;None;Tbio
CREB3L2;299;141;526;Cancer;407;Yes;None;None;None;None;Tbio
IRF8;299;147;520;Cancer;407;Yes;None;None;None;None;Tbio
ATF1;301;169;499;Cancer;407;Yes;None;None;None;Medium;Tchem
KLF3;301;161;507;Cancer;407;No;None;Pro-Longevity;None;None;Tbio
CREB5;303;318;351;Osteoarthritis;407;Yes;None;None;None;None;Tbio
RELB;304;244;426;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
PHF20;305;566;387;Cancer;127;Yes;None;Anti-Longevity;None;None;Tbio
MSX2;306;239;437;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
RORC;306;222;454;Cancer;407;No;None;Unclear;None;Medium;Tchem
FOSB;308;392;285;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
PROP1;308;505;517;Type 2 Diabetes Mellitus;62;Yes;Anti-Longevity;None;None;None;Tbio
TERF1;308;631;419;Cancer;34;Yes;None;None;None;None;Tbio
NKX2-5;311;132;546;Atherosclerosis;407;Yes;None;None;None;Medium to Low;Tbio
FOXQ1;312;520;443;Cancer;127;Yes;None;None;None;None;Tbio
NCOA3;312;451;232;Osteoarthritis;407;Yes;None;None;None;Low;Tchem
PURA;312;553;130;Alzheimer Disease;407;Yes;None;None;None;Low;Tbio
TBP;315;641;392;Parkinson Disease;62;Yes;None;Pro-Longevity;None;Low;Tbio
POU2F2;316;599;372;Alzheimer Disease;127;Yes;None;Anti-Longevity;None;Low;Tbio
CEBPD;317;511;461;Cancer;127;Yes;Unclear;None;None;None;Tbio
HBP1;318;589;449;Type 2 Diabetes Mellitus;62;Yes;None;None;None;None;Tbio
MAX;319;116;860;Cancer;127;Yes;None;Anti-Longevity;None;None;Tbio
CREB3L1;320;160;539;Cancer;407;Yes;None;None;None;None;Tbio
NRF1;320;624;75;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
NR1I3;322;524;457;Non-Alcoholic Fatty Liver Disease;127;Yes;None;Unclear;None;Medium;Tchem
SOX11;323;192;510;Cancer;407;Yes;None;None;None;None;Tbio
ZBTB7B;323;465;237;Parkinson Disease;407;Yes;None;None;None;None;Tbio
FOSL2;325;292;413;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
DPF3;326;345;376;Age-Related Macular Degeneration;407;Yes;None;None;None;None;Tbio
NKX6-1;327;767;236;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;Low;Tbio
BARHL2;328;355;369;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
PAX4;328;628;96;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
PATZ1;330;186;825;Cancer;127;Yes;None;None;None;None;Tbio
SP3;331;398;616;Cancer;127;Yes;None;Pro-Longevity;None;Low;Tbio
CARF;332;485;251;Myocardial Infarction;407;Yes;None;None;None;None;Tbio
LHX2;333;712;306;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;Low;Tbio
KLF15;334;583;441;Heart Failure;127;Yes;None;Pro-Longevity;None;None;Tbio
SP9;334;662;362;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;None;Tdark
HOXC4;336;382;647;Cancer;127;Yes;None;None;None;Low;Tbio
HLX;337;163;869;Cancer;127;Yes;None;None;None;None;Tbio
KLF2;338;376;380;Cancer;407;Yes;None;None;None;None;Tbio
ZNF608;339;338;430;Parkinson Disease;407;Yes;None;None;None;None;Tbio
HNF1A;340;5;16;Type 2 Diabetes Mellitus;1161;No;None;None;None;Low;Tbio
NR2E3;341;352;429;Age-Related Macular Degeneration;407;Yes;None;None;None;Low;Tchem
DACH1;342;265;519;Cancer;407;Yes;None;None;None;None;Tbio
TBX21;343;310;480;Cancer;407;Yes;None;None;None;Low;Tbio
JAZF1;344;33;5;Type 2 Diabetes Mellitus;1161;No;None;None;None;None;Tbio
ELF4;345;175;618;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
NFIX;345;305;488;Osteoarthritis;407;No;None;Pro-Longevity;None;None;Tbio
ZNF268;345;834;239;Osteoarthritis;127;Yes;None;None;Anti-Longevity;None;Tbio
NCOA1;348;191;605;Alzheimer Disease;407;No;None;Pro-Longevity;None;Low;Tchem
SMAD1;349;541;538;Cancer;127;Yes;None;None;Unclear;None;Tbio
NR1D2;350;532;551;Cancer;127;Yes;None;Unclear;None;Low;Tchem
FOXF2;351;526;279;Ischemic Stroke;407;Yes;None;None;None;Low;Tbio
ELK3;352;664;487;Age-Related Macular Degeneration;62;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
POU2F1;353;638;450;Alzheimer Disease;127;Yes;None;Anti-Longevity;None;None;Tbio
DLX3;354;743;415;Alzheimer Disease;62;Yes;None;None;None;Medium to Low;Tbio
IRF4;355;27;33;Cancer;1161;No;None;None;None;None;Tbio
POU2AF1;356;156;665;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
ZNF799;356;782;319;Type 2 Diabetes Mellitus;127;Yes;None;None;Anti-Longevity;None;Tdark
HIF3A;358;794;374;Cancer;62;Yes;None;Unclear;Anti-Longevity;None;Tbio
HOXA9;358;234;589;Cancer;407;Yes;None;None;None;Low;Tbio
PKNOX2;358;730;373;Type 2 Diabetes Mellitus;127;Yes;None;Anti-Longevity;None;None;Tbio
HOXB9;361;678;147;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
GATAD2B;362;605;221;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
HMG20A;363;603;225;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
EN1;364;210;621;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
ESRRA;365;755;357;Cancer;127;Yes;None;Unclear;None;Medium;Tchem
ZNF385D;366;512;323;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tdark
MYOD1;367;257;580;Cancer;407;Yes;None;None;None;Low;Tbio
GTF3A;368;640;481;Alzheimer Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
MXD3;369;702;486;Cancer;62;Yes;None;Anti-Longevity;Pro-Longevity;None;Tbio
HSF4;370;369;761;Ischemic Stroke;127;Yes;None;Pro-Longevity;None;None;Tbio
ZNF423;371;166;688;Parkinson Disease;407;Yes;None;None;None;Low;Tbio
FOXN3;372;441;422;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
NFATC3;372;391;472;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
SIM1;374;364;780;Type 2 Diabetes Mellitus;127;No;None;Unclear;Anti-Longevity;None;Tbio
IRX2;375;502;365;Age-Related Hearing Impairment;407;Yes;None;None;None;None;Tbio
NFE2;376;252;896;Cancer;127;Yes;None;Pro-Longevity;None;Low;Tchem
DLX5;377;351;518;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
SOX21;378;455;698;Alzheimer Disease;127;Yes;None;None;None;None;Tbio
KIN;379;694;181;Parkinson Disease;407;No;None;Pro-Longevity;None;None;Tbio
ZNF207;380;805;72;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
TFAP2B;381;88;37;Type 2 Diabetes Mellitus;1161;No;None;None;None;None;Tbio
CRX;382;293;587;Age-Related Macular Degeneration;407;No;None;Pro-Longevity;None;None;Tbio
HIVEP3;383;290;591;Osteoporosis;407;Yes;None;None;None;None;Tbio
IRX3;384;319;563;Osteoarthritis;407;Yes;None;None;None;None;Tbio
PRDM9;385;378;513;Cancer;407;No;None;None;Anti-Longevity;None;Tbio
ZNF143;385;648;523;Chronic Obstructive Pulmonary Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
PBX4;387;454;721;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
KLF9;388;489;407;Myocardial Infarction;407;Yes;None;None;None;Medium to Low;Tbio
GRHL2;389;404;493;Cancer;407;Yes;None;None;None;None;Tbio
STAT2;390;602;578;Cancer;127;Yes;None;None;Pro-Longevity;Low;Tbio
NANOG;391;717;465;Cancer;127;Yes;None;None;None;None;Tbio
DMRTA1;392;497;416;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
SPZ1;393;636;278;Cancer;407;Yes;None;None;None;None;Tbio
SOX17;394;255;660;Cancer;407;Yes;None;None;None;None;Tbio
SPDEF;395;650;547;Chronic Obstructive Pulmonary Disease;127;No;None;Anti-Longevity;None;None;Tbio
ATF2;396;689;509;Cancer;127;Yes;None;None;None;Low;Tbio
ZNF385B;396;601;317;Age-Related Macular Degeneration;407;Yes;None;None;None;None;Tbio
ARID3A;398;475;445;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
FOXD2;398;386;534;Cancer;407;Yes;None;None;None;None;Tbio
HNF1B;400;150;18;Type 2 Diabetes Mellitus;1161;No;None;None;None;Low;Tbio
RBCK1;401;620;303;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ELK4;402;291;915;Alzheimer Disease;127;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
ZNF169;402;779;427;Type 2 Diabetes Mellitus;127;Yes;None;None;Anti-Longevity;None;Tdark
ATOH8;404;807;120;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
HOXA13;404;96;831;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
MEIS2;404;428;779;Cancer;127;Yes;None;Anti-Longevity;None;None;Tbio
CUX2;407;152;22;Ischemic Stroke;1161;No;None;None;None;Low;Tbio
FOXF1;407;343;585;Osteoporosis;407;Yes;None;None;None;Low;Tbio
EMX2;409;320;890;Cancer;127;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
ZNF229;409;356;854;Parkinson Disease;127;Yes;None;None;Anti-Longevity;None;Tdark
NR5A1;411;298;913;Cancer;127;Yes;None;Pro-Longevity;None;Low;Tchem
NKX2-2;412;738;478;Type 2 Diabetes Mellitus;127;Yes;None;Anti-Longevity;None;None;Tbio
HESX1;413;573;648;Heart Failure;127;Yes;None;None;None;None;Tbio
CAMTA1;414;85;859;Cancer;407;Yes;None;None;None;None;Tbio
ZIC2;415;405;545;Cancer;407;Yes;None;None;None;None;Tbio
ASCL1;416;403;548;Alzheimer Disease;407;Yes;None;None;None;Medium to Low;Tbio
HOXC6;417;448;504;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Medium to Low;Tbio
E2F4;418;591;643;Alzheimer Disease;127;Yes;None;Anti-Longevity;None;Medium;Tbio
IRF6;419;325;631;Cancer;407;Yes;None;None;None;Low;Tbio
BHLHE41;420;632;326;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
MTF1;421;810;494;Cancer;62;Yes;None;None;Pro-Longevity;Low;Tbio
ELK1;422;671;634;Alzheimer Disease;62;Yes;None;None;None;Medium to Low;Tbio
CXXC5;423;307;654;Cancer;407;Yes;None;None;None;None;Tbio
E2F2;423;367;594;Cancer;407;Yes;None;None;None;Medium;Tbio
CPEB1;425;604;640;Cancer;127;Yes;None;None;None;None;Tbio
ZNF521;426;101;865;Cancer;407;Yes;None;None;None;None;Tbio
LIN28B;427;354;613;Cancer;407;No;None;Anti-Longevity;None;None;Tbio
NCOA2;428;115;853;Heart Failure;407;Yes;None;None;None;Low;Tbio
AKAP8L;429;848;124;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ARHGAP35;430;137;837;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
LHX9;431;472;785;Chronic Obstructive Pulmonary Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
TBX5;432;154;77;Chronic Obstructive Pulmonary Disease;1161;No;None;None;None;None;Tbio
ZNF700;433;1036;234;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;None;Tdark
OLIG2;434;329;662;Ischemic Stroke;407;Yes;None;None;None;None;Tbio
SREBF2;435;680;322;Non-Alcoholic Fatty Liver Disease;407;Yes;None;None;None;Low;Tchem
NR2C1;436;819;186;Alzheimer Disease;407;Yes;None;None;None;Low;Tbio
FOXA3;437;733;623;Cancer;62;Yes;None;Pro-Longevity;Pro-Longevity;Medium to Low;Tbio
YBX1;437;710;301;Cancer;407;Yes;None;None;None;Low;Tbio
SRF;439;908;384;Cancer;127;Yes;None;None;None;None;Tbio
SMAD9;440;588;705;Cancer;127;Yes;None;None;Unclear;None;Tbio
PAX3;441;65;953;Cancer;407;Yes;None;None;None;None;Tbio
ZNF84;442;1090;211;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;None;Tdark
ZNF148;443;549;756;Cancer;127;Yes;None;None;None;None;Tbio
HES4;444;896;133;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
HINFP;444;911;118;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
LIN28A;446;534;496;Cancer;407;No;None;Anti-Longevity;None;None;Tbio
HOXA5;447;491;542;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
SKIL;448;774;541;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
SOX10;448;282;753;Cancer;407;Yes;None;None;None;Low;Tbio
HEY1;450;353;683;Cancer;407;Yes;None;None;None;None;Tbio
FEZF1;451;575;464;Osteoarthritis;407;Yes;None;None;None;None;Tbio
IKZF3;452;122;919;Cancer;407;Yes;None;None;None;Low;Tbio
PHOX2A;452;856;185;Alzheimer Disease;407;Yes;None;None;None;Medium to Low;Tbio
ADNP;454;544;498;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
PBX2;455;1155;179;Alzheimer Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
E2F8;456;587;470;Osteoarthritis;407;Yes;None;None;None;Medium;Tbio
FOXD3;456;699;358;Non-Alcoholic Fatty Liver Disease;407;Yes;None;None;None;None;Tbio
GBX2;458;658;400;Alzheimer Disease;407;Yes;None;None;None;Medium to Low;Tbio
MEF2D;459;494;568;Parkinson Disease;407;Yes;None;None;None;None;Tbio
GRHL1;460;528;881;Cancer;62;Yes;Unclear;Pro-Longevity;None;None;Tbio
MLXIP;461;443;968;Type 2 Diabetes Mellitus;62;Yes;None;Pro-Longevity;None;None;Tbio
CXXC1;462;965;105;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
SKOR1;463;551;530;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
MBNL2;464;513;570;Cancer;407;Yes;None;None;None;None;Tbio
MEOX1;465;482;882;Cancer;127;Yes;None;None;None;None;Tbio
TET3;465;501;583;Cancer;407;Yes;None;None;None;None;Tbio
ZNF827;467;300;34;Alzheimer Disease;1161;No;None;None;None;None;Tbio
E2F7;468;478;892;Cancer;127;Yes;None;None;None;Medium;Tbio
ZBTB17;468;859;231;Heart Failure;407;Yes;None;None;None;None;Tbio
KLF12;470;195;897;Cancer;407;No;None;Pro-Longevity;None;None;Tbio
TSHZ3;471;273;67;Benign Prostatic Hyperplasia;1161;No;None;None;None;None;Tbio
ZNF227;472;1149;226;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;None;Tdark
SMYD3;473;685;411;Cancer;407;Yes;None;None;None;Low;Tchem
TCF7;473;390;706;Cancer;407;Yes;None;None;None;None;Tbio
SOX1;475;719;658;Cancer;127;Yes;None;None;None;None;Tbio
EHF;476;695;754;Cancer;62;Yes;None;Pro-Longevity;None;Low;Tbio
VEZF1;477;989;116;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ZNF337;477;612;773;Cancer;127;Yes;None;None;Anti-Longevity;None;Tdark
NKX2-3;479;207;148;Alzheimer Disease;1161;No;None;None;None;None;Tbio
BPTF;480;240;119;Type 2 Diabetes Mellitus;1161;No;None;None;None;Low;Tchem
HOXD13;481;54;312;Chronic Obstructive Pulmonary Disease;1161;No;None;None;None;Medium to Low;Tbio
PURG;481;711;409;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
SIX3;483;213;158;Type 2 Diabetes Mellitus;1161;No;None;None;None;None;Tbio
FOXL2;484;196;931;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
PKNOX1;484;728;679;Type 2 Diabetes Mellitus;127;No;None;Anti-Longevity;None;None;Tbio
POU3F3;486;313;817;Cancer;407;Yes;None;None;None;None;Tbio
KMT2B;487;286;92;Alzheimer Disease;1161;No;None;None;None;None;Tbio
ZNF318;487;459;673;Age-Related Hearing Impairment;407;Yes;None;None;None;None;Tbio
PLAG1;489;111;268;Cancer;1161;No;None;None;None;None;Tbio
SLC2A4RG;489;597;536;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
FOXE1;491;399;736;Cancer;407;Yes;None;None;None;None;Tbio
KLF13;491;280;855;Cancer;407;Yes;None;None;None;None;Tbio
GLIS2;493;495;986;Cancer;62;Yes;None;None;Pro-Longevity;None;Tbio
TBX6;494;406;731;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
HOXC13;495;233;908;Cancer;407;Yes;None;None;None;Low;Tbio
HOXD11;496;171;974;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
MGA;497;582;565;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
KLF16;498;606;543;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
VSX2;499;384;766;Age-Related Macular Degeneration;407;No;None;Pro-Longevity;None;None;Tbio
ZNF512;500;531;620;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
ZNF641;501;714;438;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tdark
ZNF763;501;957;195;Parkinson Disease;407;Yes;None;None;None;None;Tdark
KLF8;503;808;345;Type 2 Diabetes Mellitus;407;No;None;Pro-Longevity;None;None;Tbio
CENPA;504;821;617;Cancer;127;Yes;None;None;None;None;Tbio
POU4F1;505;519;641;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
MTF2;506;550;611;Parkinson Disease;407;Yes;None;None;None;None;Tbio
MYSM1;506;731;710;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
SIM2;506;644;862;Cancer;62;Yes;None;Unclear;Anti-Longevity;None;Tbio
MSX1;509;349;824;Cancer;407;Yes;None;None;None;None;Tbio
ZIC1;510;331;848;Osteoporosis;407;Yes;None;None;None;None;Tbio
ESRRB;511;725;737;Cancer;127;Yes;None;Unclear;None;Medium;Tchem
ZNF619;512;977;206;Alzheimer Disease;407;Yes;None;None;None;None;Tdark
ZXDA;512;849;614;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;None;Tbio
CIC;514;100;1087;Cancer;407;Yes;None;None;None;Low;Tbio
ATOH1;515;718;474;Cancer;407;No;None;Anti-Longevity;None;None;Tbio
POU2F3;516;875;598;Myocardial Infarction;127;Yes;None;Anti-Longevity;None;None;Tbio
EVX2;517;296;144;Alzheimer Disease;1161;No;None;None;None;None;Tbio
CTCFL;518;613;584;Cancer;407;Yes;None;None;None;None;Tbio
FOXK2;519;626;572;Cancer;407;Yes;None;None;None;None;Tbio
SALL2;520;802;680;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
MYBL1;521;456;748;Cancer;407;Yes;None;None;None;None;Tbio
KLF17;522;1030;175;Alzheimer Disease;407;No;None;Pro-Longevity;None;None;Tbio
NME2;523;858;629;Cancer;127;Yes;None;Anti-Longevity;None;Low;Tbio
THAP1;524;744;468;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ZNF236;525;842;375;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
SIX6;526;302;163;Alzheimer Disease;1161;Yes;None;None;None;None;Tbio
YBX3;526;592;627;Cancer;407;Yes;None;None;None;None;Tbio
GFI1B;528;285;182;Alzheimer Disease;1161;No;None;None;None;None;Tbio
ARNTL2;529;1070;503;Cancer;62;Yes;Pro-Longevity;Pro-Longevity;None;None;Tbio
GRHL3;530;563;666;Cancer;407;Yes;None;None;None;None;Tbio
NKX3-2;531;619;612;Osteoarthritis;407;Yes;None;None;None;Medium to Low;Tbio
PLSCR1;532;761;751;Osteoarthritis;127;Yes;None;Anti-Longevity;None;None;Tbio
ZNF436;533;693;540;Cancer;407;Yes;None;None;None;None;Tbio
EOMES;534;400;836;Cancer;407;Yes;None;None;None;Low;Tbio
PAX9;534;225;257;Osteoarthritis;1161;No;None;None;None;None;Tbio
TTF1;534;739;497;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
POU3F4;537;554;689;Cancer;407;Yes;None;None;None;None;Tbio
SIX5;537;431;812;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
ZBTB4;539;778;469;Benign Prostatic Hyperplasia;407;Yes;None;None;None;Low;Tbio
ZNF680;540;837;414;Alzheimer Disease;407;Yes;None;None;None;None;Tdark
ZHX3;541;138;361;Type 2 Diabetes Mellitus;1161;No;None;None;None;None;Tbio
CREM;542;555;699;Cancer;407;Yes;None;None;None;None;Tbio
GTF2B;542;578;676;Age-Related Hearing Impairment;407;Yes;None;None;None;Medium to Low;Tbio
ZBED3;542;933;321;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
ISL1;545;295;208;Non-Alcoholic Fatty Liver Disease;1161;No;None;None;None;None;Tbio
TOPORS;545;741;861;Alzheimer Disease;62;Yes;Pro-Longevity;None;None;None;Tbio
ETV7;547;853;685;Osteoarthritis;127;Yes;None;Pro-Longevity;None;None;Tbio
ZNF536;548;421;841;Cancer;407;Yes;None;None;None;None;Tbio
ZNF714;548;1231;311;Type 2 Diabetes Mellitus;127;Yes;None;None;Anti-Longevity;None;Tdark
EBF2;550;259;250;Type 2 Diabetes Mellitus;1161;No;None;None;None;None;Tbio
POU3F2;551;515;750;Cancer;407;Yes;None;None;None;None;Tbio
L3MBTL1;552;923;343;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tchem
MXD1;552;846;802;Chronic Obstructive Pulmonary Disease;25;Yes;None;Unclear;Unclear;None;Tbio
ZNF408;554;681;867;Chronic Obstructive Pulmonary Disease;127;Yes;None;None;Anti-Longevity;None;Tbio
PRRX2;555;1045;224;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
LMX1B;556;228;293;Osteoarthritis;1161;Yes;None;None;None;None;Tbio
FOXK1;557;481;45;Alzheimer Disease;1161;No;None;None;None;None;Tbio
ELF1;558;449;832;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
TEF;559;322;963;Parkinson Disease;407;Yes;None;None;None;None;Tbio
ZBTB18;560;686;601;Cancer;407;Yes;None;None;None;None;Tbio
RXRG;561;446;88;Alzheimer Disease;1161;No;None;None;None;High;Tclin
PRDM6;562;413;877;Ischemic Stroke;407;Yes;None;None;None;None;Tbio
HOXB7;563;816;755;Cancer;127;Yes;None;None;None;None;Tbio
SP7;563;649;642;Osteoporosis;407;Yes;None;None;None;Low;Tbio
RFX7;565;595;697;Cancer;407;Yes;None;None;None;None;Tdark
ZNF331;566;238;1055;Cancer;407;Yes;None;None;None;None;Tbio
HOXD9;567;535;760;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
SMAD5;567;840;735;Cancer;127;Yes;None;None;Unclear;None;Tbio
PAX5;569;79;463;Type 2 Diabetes Mellitus;1161;No;None;None;None;Low;Tbio
PROX2;569;980;316;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ZNF429;571;304;993;Cancer;407;No;None;None;Anti-Longevity;None;Tdark
TBX18;572;426;873;Ischemic Stroke;407;Yes;None;None;None;None;Tbio
MYT1;573;768;532;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tchem
SPIB;574;687;619;Cancer;407;No;None;Anti-Longevity;None;None;Tbio
CGGBP1;575;931;656;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
THAP3;576;826;484;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tdark
BBX;577;324;988;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
EGR4;578;614;701;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
SON;578;488;73;Alzheimer Disease;1161;No;None;None;None;None;Tbio
FOXL1;580;415;903;Cancer;407;Yes;None;None;None;None;Tbio
ZFP91;581;898;425;Heart Failure;407;Yes;None;None;None;None;Tbio
TLX1;582;275;1050;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
ZNF239;583;1042;286;Myocardial Infarction;407;Yes;None;None;None;None;Tbio
IRX4;584;503;828;Cancer;407;Yes;None;None;None;None;Tbio
TEAD3;585;707;626;Non-Alcoholic Fatty Liver Disease;407;Yes;None;None;None;None;Tbio
HOXC8;586;516;821;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
LHX5;587;888;451;Chronic Obstructive Pulmonary Disease;407;No;None;Pro-Longevity;None;None;Tbio
HIVEP1;588;311;1029;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
OTX1;589;653;971;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
CBX2;590;716;630;Cancer;407;Yes;None;None;None;Low;Tchem
ZNF615;590;1130;216;Alzheimer Disease;407;No;None;None;Anti-Longevity;None;Tdark
FOXO6;592;594;759;Cancer;407;Yes;None;None;None;None;Tbio
CREB3L3;593;508;95;Alzheimer Disease;1161;No;None;None;None;None;Tbio
PLAGL1;594;623;740;Cancer;407;Yes;None;None;None;Low;Tbio
SOX30;594;537;826;Cancer;407;Yes;None;None;None;None;Tbio
NR2F6;596;758;607;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
ZFAT;597;223;1143;Type 2 Diabetes Mellitus;407;No;None;Pro-Longevity;None;None;Tbio
ZBTB7C;598;645;724;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
ZBTB40;599;424;193;Alzheimer Disease;1161;No;None;None;None;None;Tbio
ZNF831;600;271;347;Chronic Obstructive Pulmonary Disease;1161;No;None;None;None;None;Tdark
SP140;601;522;851;Cancer;407;Yes;None;None;None;None;Tbio
ZNF280D;602;722;655;Benign Prostatic Hyperplasia;407;Yes;None;None;None;None;Tdark
ZNF585B;603;1021;359;Alzheimer Disease;407;Yes;None;None;None;None;Tdark
MAF1;604;1177;550;Alzheimer Disease;62;No;Anti-Longevity;Anti-Longevity;Pro-Longevity;None;Tbio
USF1;605;872;511;Atherosclerosis;407;Yes;None;None;None;None;Tbio
ZNF813;606;1209;177;Alzheimer Disease;407;No;None;None;Anti-Longevity;None;Tdark
TRERF1;607;750;637;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
LMX1A;608;306;333;Age-Related Hearing Impairment;1161;No;None;None;None;None;Tbio
OSR1;609;350;294;Alzheimer Disease;1161;No;None;None;None;Low;Tchem
ZNF100;609;986;412;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tdark
TEAD4;611;967;432;Benign Prostatic Hyperplasia;407;Yes;None;None;None;Medium;Tchem
ZNF503;612;811;593;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
HOXD10;613;635;771;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
PITX1;614;146;508;Type 2 Diabetes Mellitus;1161;Yes;None;None;None;None;Tbio
HOXB2;615;852;558;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;Medium to Low;Tbio
SOX18;615;464;946;Cancer;407;Yes;None;None;None;None;Tbio
SOX8;617;607;807;Heart Failure;407;Yes;None;None;None;None;Tbio
DBP;618;776;639;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Medium to Low;Tbio
ZXDB;619;1217;479;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;None;Tdark
